,symbol,chain,aura_automated_bribe,aura_actual_bribe,aura_bribe_delta,aura_bribe_delta_%,bal_automated_bribe,bal_actual_bribe,bal_bribe_delta,bal_bribe_delta_%
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,wstETH-WETH-BPT,mainnet,4010.64,1676.15,2334.49,139.28%,6218.60,3112.85,3105.75,99.77%
0x79eF6103A513951a3b25743DB509E267685726B7,B-rETH-STABLE,mainnet,0,2976.40,2976.40,100.00%,0.00,5527.60,5527.60,100.00%
0xee01c0d9c0439c94D314a6ecAE0490989750746C,swETH-WETH-BPT,mainnet,1709.86,0.00,1709.86,0%,2651.17,0.00,2651.17,0%
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,ECLP-wstETH-cbETH,mainnet,0,0.00,0.00,0%,0.00,0.00,0.00,0%
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,20WETH-80ALCX,mainnet,5664.75,3046.75,2618.00,85.93%,8783.34,5658.25,3125.09,55.23%
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,B-staFiETH-WETH-Stable,mainnet,0,0.00,0.00,0%,0.00,0.00,0.00,0%
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,GHO/USDT/USDC,mainnet,693.44,0.00,693.44,0%,1075.19,0.00,1075.19,0%
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,ankrETH/wstETH,mainnet,2610.70,2057.83,552.87,26.87%,4047.96,3821.68,226.28,5.92%
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,50rETH-50BADGER,mainnet,3286.92,1279.78,2007.14,156.83%,5096.45,2376.73,2719.72,114.43%
0x2C2179abce3413E27BDA6917f60ae37F96D01826,50rETH-50RPL,mainnet,551.99,0.00,551.99,0%,855.88,0.00,855.88,0%
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,ECLP-wstETH-wETH,mainnet,0,0.00,0.00,0%,0.00,0.00,0.00,0%
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,ECLP-WMATIC-stMATIC,polygon,945.90,1977.38,1031.48,52.16%,1466.64,0.00,1466.64,0%
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,ECLP-WMATIC-MATICX,polygon,0,1318.58,1318.58,100.00%,883.89,0.00,883.89,0%
0x00b9bcd17cB049739D25FD7f826caA2E23b05620,rETH-WETH-BPT,arbitrum,0,0.00,0.00,0%,662.52,1740.31,1077.79,61.93%
0xb6d101874B975083C76598542946Fe047f059066,wstETH-WETH-BPT,arbitrum,690.43,1340.06,649.63,48.48%,1070.53,2140.61,1070.08,49.99%
0x56c0626E6E3931af90EbB679A321225180d4b32B,wstETH/rETH/cbETH,arbitrum,981.94,1005.04,23.10,2.30%,1522.52,1605.46,82.94,5.17%
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,4POOL-BPT,arbitrum,0,1005.04,1005.04,100.00%,344.90,1605.46,1260.56,78.52%
0x49f530b45Ae792CDF5Cbd5D25C5a9b9e59C6c3B8,wstETH/rETH/sfrxETH,arbitrum,0,0.00,0.00,0%,0.03,0.00,0.03,0%
0xefF145872582721e1b33931d61c3fE9C1ca66690,cbETH/WETH,base,1489.60,0.00,1489.60,0%,2309.66,2052.00,257.66,12.56%
0xd75026F8723b94d9a360A282080492d905c6A558,rETH-WETH-BPT,base,0,0.00,0.00,0%,709.60,1026.00,316.40,30.84%
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,USDC/USDbC/axlUSDC,base,0,0.00,0.00,0%,621.32,2052.00,1430.68,69.72%
